analysisId,analysisName,sqlFileName,startDay,endDay,subType,domainId,domainTable,domainConceptId,domainStartDate,domainEndDate,isDefault,description
1,DemographicsGender,DemographicsGender.sql,,,,Demographics,,,,,TRUE,Gender of the subject.
2,DemographicsAge,DemographicsAge.sql,,,,Demographics,,,,,FALSE,Age of the subject on the index date (in years).
3,DemographicsAgeGroup,DemographicsAgeGroup.sql,,,,Demographics,,,,,TRUE,Age of the subject on the index date (in 5 year age groups)
4,DemographicsRace,DemographicsRace.sql,,,,Demographics,,,,,TRUE,Race of the subject.
5,DemographicsEthnicity,DemographicsEthnicity.sql,,,,Demographics,,,,,TRUE,Ethnicity of the subject.
6,DemographicsIndexYear,DemographicsYear.sql,,,,Demographics,,,,,TRUE,Year of the index date.
7,DemographicsIndexMonth,DemographicsMonth.sql,,,,Demographics,,,,,TRUE,Month of the index date.
8,DemographicsPriorObservationTime,DemographicsTime.sql,,,priorObservation,Demographics,,,,,FALSE,Number of continuous days of observation time preceding the index date.
9,DemographicsPostObservationTime,DemographicsTime.sql,,,postObservation,Demographics,,,,,FALSE,Number of continuous days of observation time following the index date.
10,DemographicsTimeInCohort,DemographicsTime.sql,,,inCohort,Demographics,,,,,FALSE,Number of days of observation time during cohort period.
11,DemographicsIndexYearMonth,DemographicsYearMonth.sql,,,,Demographics,,,,,FALSE,Both calendar year and month of the index date in a single variable.
101,ConditionOccurrenceAnyTimePrior,DomainConcept.sql,anyTimePrior,endDays,all,Condition,condition_occurrence,condition_concept_id,condition_start_date,condition_start_date,FALSE,One covariate per condition in the condition_occurrence table starting any time prior to index.
102,ConditionOccurrenceLongTerm,DomainConcept.sql,longTermStartDays,endDays,all,Condition,condition_occurrence,condition_concept_id,condition_start_date,condition_start_date,FALSE,One covariate per condition in the condition_occurrence table starting in the long term window.
103,ConditionOccurrenceMediumTerm,DomainConcept.sql,mediumTermStartDays,endDays,all,Condition,condition_occurrence,condition_concept_id,condition_start_date,condition_start_date,FALSE,One covariate per condition in the condition_occurrence table starting in the medium term window.
104,ConditionOccurrenceShortTerm,DomainConcept.sql,shortTermStartDays,endDays,all,Condition,condition_occurrence,condition_concept_id,condition_start_date,condition_start_date,FALSE,One covariate per condition in the condition_occurrence table starting in the short term window.
105,ConditionOccurrencePrimaryInpatientAnyTimePrior,DomainConcept.sql,anyTimePrior,endDays,inpatient,Condition,condition_occurrence,condition_concept_id,condition_start_date,condition_start_date,FALSE,One covariate per condition observed as a primary diagnosis in an inpatient setting in the condition_occurrence table starting any time prior to index.
106,ConditionOccurrencePrimaryInpatientLongTerm,DomainConcept.sql,longTermStartDays,endDays,inpatient,Condition,condition_occurrence,condition_concept_id,condition_start_date,condition_start_date,FALSE,One covariate per condition observed as a primary diagnosis in an inpatient setting in the condition_occurrence table starting in the long term window.
107,ConditionOccurrencePrimaryInpatientMediumTerm,DomainConcept.sql,mediumTermStartDays,endDays,inpatient,Condition,condition_occurrence,condition_concept_id,condition_start_date,condition_start_date,FALSE,One covariate per condition observed  as a primary diagnosis in an inpatient setting in the condition_occurrence table starting in the medium term window.
108,ConditionOccurrencePrimaryInpatientShortTerm,DomainConcept.sql,shortTermStartDays,endDays,inpatient,Condition,condition_occurrence,condition_concept_id,condition_start_date,condition_start_date,FALSE,One covariate per condition observed  as a primary diagnosis in an inpatient setting in the condition_occurrence table starting in the short term window.
201,ConditionEraAnyTimePrior,DomainConcept.sql,anyTimePrior,endDays,all,Condition,condition_era,condition_concept_id,condition_era_start_date,condition_era_end_date,FALSE,One covariate per condition in the condition_era table overlapping with any time prior to index.
